pwsid,pwsname,pctpov,pcthisp,health,medianincomehouse,violation,pcthisp_bin,pctpov_bin
AL0000001,AUTAUGA CO WATER AUTHORITY,9.399999618530272,2.7730414867401123,0,58773,FALSE,"(0,10]","(0,10]"
AL0000001,AUTAUGA CO WATER AUTHORITY,10.800000190734863,3.5341200828552246,0,58432,FALSE,"(0,10]","(10,20]"
AL0000002,AUTAUGAVILLE WATER SYSTEM,18.200000762939453,0,0,33750,FALSE,"(-10,0]","(10,20]"
AL0000002,AUTAUGAVILLE WATER SYSTEM,18.200000762939453,0,0,33000,FALSE,"(-10,0]","(10,20]"
AL0000002,AUTAUGAVILLE WATER SYSTEM,19.899999618530273,0,0,30833,FALSE,"(-10,0]","(10,20]"
AL0000002,AUTAUGAVILLE WATER SYSTEM,14.600000381469728,0,0,38021,FALSE,"(-10,0]","(10,20]"
AL0000003,BILLINGSLEY WATER SYSTEM,18.5,2.29007625579834,0,39750,FALSE,"(0,10]","(10,20]"
AL0000003,BILLINGSLEY WATER SYSTEM,6.599999904632568,1.2738853693008425,0,47500,FALSE,"(0,10]","(0,10]"
AL0000003,BILLINGSLEY WATER SYSTEM,13.899999618530272,0,0,38333,FALSE,"(-10,0]","(10,20]"
AL0000003,BILLINGSLEY WATER SYSTEM,19.899999618530273,0,0,34583,FALSE,"(-10,0]","(10,20]"
AL0000013,"MARBURY WATER SYSTEM, INC.",6.099999904632568,0,0,43750,FALSE,"(-10,0]","(0,10]"
AL0000013,"MARBURY WATER SYSTEM, INC.",4.300000190734863,0.06978367269039154,0,39853,FALSE,"(0,10]","(0,10]"
AL0000013,"MARBURY WATER SYSTEM, INC.",16.5,0.1296176314353943,0,35781,FALSE,"(0,10]","(10,20]"
AL0000013,"MARBURY WATER SYSTEM, INC.",8.300000190734863,1.7026106119155884,0,36583,FALSE,"(0,10]","(0,10]"
AL0000017,PRATTVILLE (WATER WORKS BOARD OF),8.699999809265137,3.0788867473602295,0,58979,FALSE,"(0,10]","(0,10]"
AL0000017,PRATTVILLE (WATER WORKS BOARD OF),10.199999809265137,3.169325590133667,0,60617,FALSE,"(0,10]","(10,20]"
AL0000017,PRATTVILLE (WATER WORKS BOARD OF),9.399999618530272,2.7730414867401123,0,58773,FALSE,"(0,10]","(0,10]"
AL0000017,PRATTVILLE (WATER WORKS BOARD OF),10.800000190734863,3.5341200828552246,0,58432,FALSE,"(0,10]","(10,20]"
AL0000023,NORTH BALDWIN UTILITIES,26.100000381469727,2.5707898139953613,0,35951,FALSE,"(0,10]","(20,30]"
AL0000023,NORTH BALDWIN UTILITIES,22.100000381469727,0.6801038980484009,0,35960,FALSE,"(0,10]","(20,30]"
AL0000023,NORTH BALDWIN UTILITIES,23.5,0.6030027270317078,0,34849,FALSE,"(0,10]","(20,30]"
AL0000023,NORTH BALDWIN UTILITIES,25.700000762939453,0.6827545762062073,0,32389,FALSE,"(0,10]","(20,30]"
AL0000025,BELFOREST WATER SYSTEM,8.600000381469727,2.5459959506988525,0,59842,FALSE,"(0,10]","(0,10]"
AL0000025,BELFOREST WATER SYSTEM,8.5,2.3086326122283936,0,62376,FALSE,"(0,10]","(0,10]"
AL0000025,BELFOREST WATER SYSTEM,8.600000381469727,2.2889907360076904,0,63890,FALSE,"(0,10]","(0,10]"
AL0000025,BELFOREST WATER SYSTEM,9.600000381469728,2.8576531410217285,0,61224,FALSE,"(0,10]","(0,10]"
AL0000029,DAPHNE (UTILITIES BOARD OF THE CITY OF),8.600000381469727,2.5459959506988525,0,59842,FALSE,"(0,10]","(0,10]"
AL0000029,DAPHNE (UTILITIES BOARD OF THE CITY OF),8.5,2.3086326122283936,0,62376,FALSE,"(0,10]","(0,10]"
AL0000029,DAPHNE (UTILITIES BOARD OF THE CITY OF),8.600000381469727,2.2889907360076904,0,63890,FALSE,"(0,10]","(0,10]"
